Symbol,Trade Date,Broker,ADV,Volatility,Beta,Mkt Cap (MM),Side,Order Shares,Executed Shares,POV,P_avg,Pd,P0,Pn,VWAP
AAPL,8/5/24,Broker A,72106864,0.68,1.041596293,2901664,Buy,2294800,2294800,0.153908303,197.52,193.27,193.49,199.25,197.3792238
MSFT,8/5/24,Broker C,26193634,0.4,0.991805494,2669692,Buy,658600,658600,0.151335505,367.34,362.82,362.88,370.55,367.287875
NVDA,8/5/24,Broker B,323825056,0.81,1.904370189,2364604,Sell,14230300,14230300,0.148171538,96.08,98.77,98.63,97.66,96.09798646
AMZN,8/5/24,Broker A,56974192,0.58,1.184175968,1775661,Sell,519200,519200,0.091065774,167.46,169.6,169.56,168.62,167.5654634
META,8/5/24,Broker A,20542520,0.67,1.181922793,1223500,Sell,526900,526900,0.173758074,481.83,491.33,491.27,489.22,481.9210258
GOOGL,8/5/24,Broker B,38393644,0.46,0.987897754,1813077,Buy,728600,728600,0.119374791,150.72,148.88,148.81,150.9,150.6527847
AVGO,8/5/24,Broker D,37874508,0.79,1.959495664,781511,Buy,748900,748900,0.126207894,170.05,166.99,166.99,171.21,169.9914492
GOOG,8/5/24,Broker D,24951546,0.46,0.98287636,1813077,Buy,845000,845000,0.197498667,153.37,150.97,151.16,153.89,153.3525195
TSLA,8/5/24,Broker E,140806080,1.03,1.58415544,731758,Buy,4502900,4502900,0.035237915,236.06,230.26,230.27,237.1,235.9619683
LLY,8/5/24,Broker B,3938780.25,0.57,0.776895583,775474,Sell,34200,34200,0.123051577,831.58,841.51,841.29,838,831.6014833
JPM,8/5/24,Broker C,14446872,0.49,1.117400289,637278,Buy,112800,112800,0.073196702,232.93,230.63,230.74,234.49,232.9079842
V,8/5/24,Broker D,7732261.5,0.41,0.824475527,643335,Sell,178000,178000,0.058767623,325.1,329,328.92,326.7,325.1447781
XOM,8/5/24,Broker E,19817686,0.42,0.607271492,455670,Sell,839600,839600,0.119777015,104.07,105.61,105.47,104.67,104.1198425
COST,8/5/24,Broker A,2917253,0.35,0.817268252,424947,Sell,10400,9100,0.049830226,986.54,993,992.85,988.31,986.6704836
MA,8/5/24,Broker B,3392971.25,0.4,0.856543481,463128,Sell,147100,147100,0.087703487,508.99,517,516.93,512.43,509.0841354
UNH,8/5/24,Broker A,6109557,0.85,0.466492683,387145,Buy,234800,234800,0.169971446,461.37,449.76,449.65,462.03,461.2703308
